Month,AirMiles
1990-1,35153577000
1990-2,32965187000
1990-3,39993913000
1990-4,37981886000
1990-5,38419672000
1990-6,42819023000
1990-7,45770315000
1990-8,48763670000
1990-9,38173223000
1990-10,39051877000
1990-11,35699216000
1990-12,37444088000
1991-1,34848290000
1991-2,29672427000
1991-3,36202993000
1991-4,37146602000
1991-5,38869421000
1991-6,42199760000
1991-7,45384965000
1991-8,48164550000
1991-9,38481957000
1991-10,39062110000
1991-11,34688141000
1991-12,38575165000
1992-1,35265807000
1992-2,33868884000
1992-3,39724539000
1992-4,37294373000
1992-5,39728367000
1992-6,45754460000
1992-7,50807813000
1992-8,53219046000
1992-9,41564915000
1992-10,40578092000
1992-11,36863415000
1992-12,39045016000
1993-1,37911556000
1993-2,34902869000
1993-3,42058882000
1993-4,40814097000
1993-5,42133943000
1993-6,44679864000
1993-7,48622037000
1993-8,50451675000
1993-9,41677832000
1993-10,43264475000
1993-11,38868799000
1993-12,40610043000
1994-1,38863562000
1994-2,36068535000
1994-3,45433842000
1994-4,42418163000
1994-5,44297210000
1994-6,48169096000
1994-7,52410979000
1994-8,53235052000
1994-9,44677623000
1994-10,45845403000
1994-11,42230318000
1994-12,43868116000
1995-1,42050940000
1995-2,38580784000
1995-3,47390145000
1995-4,45427499000
1995-5,45915722000
1995-6,49992583000
1995-7,53345749000
1995-8,54776466000
1995-9,45589237000
1995-10,46993036000
1995-11,43703386000
1995-12,45015358000
1996-1,42734234000
1996-2,43056589000
1996-3,51646570000
1996-4,48063492000
1996-5,49808809000
1996-6,53774378000
1996-7,56576582000
1996-8,58714135000
1996-9,47857913000
1996-10,49873317000
1996-11,44696485000
1996-12,49361193000
1997-1,46692784000
1997-2,43761932000
1997-3,54755166000
1997-4,50182894000
1997-5,51979543000
1997-6,55462027000
1997-7,58771317000
1997-8,60496856000
1997-9,50076953000
1997-10,51846329000
1997-11,47743798000
1997-12,50414361000
1998-1,47290992000
1998-2,44641209000
1998-3,54453961000
1998-4,53044174000
1998-5,54302581000
1998-6,57335447000
1998-7,59441840000
1998-8,60813085000
1998-9,49560508000
1998-10,53463147000
1998-11,49561082000
1998-12,51024977000
1999-1,48861094000
1999-2,46158194000
1999-3,57761057000
1999-4,54968382000
1999-5,55469960000
1999-6,59918608000
1999-7,64397523000
1999-8,63752132000
1999-9,53733696000
1999-10,57407208000
1999-11,53866781000
1999-12,52331272000
2000-1,49745428000
2000-2,49876910000
2000-3,61378569000
2000-4,58981617000
2000-5,61165486000
2000-6,65524091000
2000-7,67883256000
2000-8,66924512000
2000-9,56441629000
2000-10,58834210000
2000-11,56283261000
2000-12,55380280000
2016-1,53129922000
2016-2,49992995000
2016-3,62323049000
2016-4,59801562000
2016-5,60246477000
2016-6,64987625000
2016-7,68573410000
2016-8,69003617000
2016-9,39106905000
2016-10,44271037000
2016-11,45245063000
2016-12,48167518000
2016-1,46587818000
2016-2,45157533000
2016-3,57423155000
2016-4,53013066000
2016-5,55663570000
2016-6,60224150000
2016-7,62570110000
2016-8,62881793000
2016-9,48925997000
2016-10,52779975000
2016-11,48902677000
2016-12,55355434000
2016-1,50602700000
2016-2,46455943000
2016-3,56033121000
2016-4,51146721000
2016-5,53591384000
2016-6,59426357000
2016-7,65041408000
2016-8,64095456000
2016-9,51347366000
2016-10,55810667000
2016-11,53249129000
2016-12,57795908000
2016-1,53447972000
2016-2,52608801000
2016-3,63600019000
2016-4,61887720000