Month,RailMiles
1990-1,454115779000
1990-2,435086002000
1990-3,568289732000
1990-4,568101697000
1990-5,539628385000
1990-6,570694457000
1990-7,618571581000
1990-8,609210368000
1990-9,488444939000
1990-10,514253920000
1990-11,516429873000
1990-12,531619395000
1991-1,496467387000
1991-2,469504489000
1991-3,587905914000
1991-4,509488334000
1991-5,566342448000
1991-6,603845247000
1991-7,633450001000
1991-8,664013874000
1991-9,494557648000
1991-10,509037626000
1991-11,472359118000
1991-12,550795984000
1992-1,493541137000
1992-2,462084011000
1992-3,559205172000
1992-4,572122965000
1992-5,546043825000
1992-6,478204759000
1992-7,610774196000
1992-8,627359211000
1992-9,516516158000
1992-10,538313763000
1992-11,539769246000
1992-12,551397116000
1993-1,500349189000
1993-2,461280157000
1993-3,534476186000
1993-4,562429065000
1993-5,554039017000
1993-6,580500717000
1993-7,586861727000
1993-8,611839976000
1993-9,501353952000
1993-10,507702230000
1993-11,489299178000
1993-12,503041903000
1994-1,472917856000
1994-2,463567851000
1994-3,572167273000
1994-4,546898075000
1994-5,524008197000
1994-6,531971149000
1994-7,578257564000
1994-8,587229076000
1994-9,490032783000
1994-10,493619903000
1994-11,477594716000
1994-12,490779357000
1995-1,425207429000
1995-2,393268412000
1995-3,489360683000
1995-4,490903635000
1995-5,511120586000
1995-6,542693418000
1995-7,571259638000
1995-8,580982161000
1995-9,451385426000
1995-10,441202778000
1995-11,435470011000
1995-12,444598571000
1996-1,362022328000
1996-2,343413949000
1996-3,416042895000
1996-4,425092726000
1996-5,467573082000
1996-6,476554648000
1996-7,525954361000
1996-8,551695523000
1996-9,412344840000
1996-10,425991795000
1996-11,389249720000
1996-12,437256586000
1997-1,337798678000
1997-2,337893100000
1997-3,416925515000
1997-4,408488665000
1997-5,444032624000
1997-6,481053743000
1997-7,540293509000
1997-8,552486079000
1997-9,425814893000
1997-10,445858326000
1997-11,441249575000
1997-12,454400575000
1998-1,371355589000
1998-2,326874247000
1998-3,426172239000
1998-4,447877815000
1998-5,462341914000
1998-6,482325897000
1998-7,537481124000
1998-8,526444502000
1998-9,430364874000
1998-10,444719403000
1998-11,427669956000
1998-12,459051399000
1999-1,384824724000
1999-2,350270063000
1999-3,436837107000
1999-4,435360347000
1999-5,450054655000
1999-6,496553598000
1999-7,543923323000
1999-8,528001216000
1999-9,393137094000
1999-10,425897553000
1999-11,421595015000
1999-12,442742459000
2000-1,366607410000
2000-2,366139276000
2000-3,453096388000
2000-4,473751011000
2000-5,481725263000
2000-6,517102460000
2000-7,564747276000
2000-8,558060051000
2000-9,446489429000
2000-10,462329685000
2000-11,442268378000
2000-12,461651082000
2016-1,379458113000
2016-2,366288212000
2016-3,448912584000
2016-4,455496342000
2016-5,462376555000
2016-6,528690495000
2016-7,564037290000
2016-8,562266005000
2016-9,446266947000
2016-10,452095235000
2016-11,446094295000
2016-12,479188434000
2016-1,398440459000
2016-2,397948828000
2016-3,461087451000
2016-4,453147413000
2016-5,461648459000
2016-6,499751748000
2016-7,564046073000
2016-8,516103068000
2016-9,385097846000
2016-10,399248774000
2016-11,375996408000
2016-12,448246102000
2016-1,393287373000
2016-2,390041481000
2016-3,472573962000
2016-4,483653074000
2016-5,489484678000
2016-6,531138943000
2016-7,578767927000
2016-8,557897322000
2016-9,427807444000
2016-10,463025617000
2016-11,448181812000
2016-12,489403554000
2016-1,410338691000
2016-2,389778365000
2016-3,453014590000
2016-4,471116666000