Month,AirMiles,RailMiles,VehicleMiles
1990-1,35153577000,454115779000,163275383527
1990-2,32965187000,435086002000,153254408768
1990-3,39993913000,568289732000,178417577159
1990-4,37981886000,568101697000,178680685639
1990-5,38419672000,539628385000,188876170781
1990-6,42819023000,570694457000,189159078009
1990-7,45770315000,618571581000,195090029789
1990-8,48763670000,609210368000,196674157670
1990-9,38173223000,488444939000,178065364213
1990-10,39051877000,514253920000,182274619593
1990-11,35699216000,516429873000,171225987744
1990-12,37444088000,531619395000,168287533712
1991-1,34848290000,496467387000,157876834362
1991-2,29672427000,469504489000,153339406664
1991-3,36202993000,587905914000,179062119688
1991-4,37146602000,509488334000,179524665005
1991-5,38869421000,566342448000,191914709033
1991-6,42199760000,603845247000,193451849074
1991-7,45384965000,633450001000,198371199125
1991-8,48164550000,664013874000,204046922082
1991-9,38481957000,494557648000,183579670411
1991-10,39062110000,509037626000,188430569998
1991-11,34688141000,472359118000,169679970920
1991-12,38575165000,550795984000,172769097075
1992-1,35265807000,493541137000,167886000000
1992-2,33868884000,462084011000,160425000000
1992-3,39724539000,559205172000,184030000000
1992-4,37294373000,572122965000,186320000000
1992-5,39728367000,546043825000,196985000000
1992-6,45754460000,478204759000,197490000000
1992-7,50807813000,610774196000,206882000000
1992-8,53219046000,627359211000,205016000000
1992-9,41564915000,516516158000,191159000000
1992-10,40578092000,538313763000,195095000000
1992-11,36863415000,539769246000,177618000000
1992-12,39045016000,551397116000,181245000000
1993-1,37911556000,500349189000,171655000000
1993-2,34902869000,461280157000,162820000000
1993-3,42058882000,534476186000,187842000000
1993-4,40814097000,562429065000,188709000000
1993-5,42133943000,554039017000,205952000000
1993-6,44679864000,580500717000,199386000000
1993-7,48622037000,586861727000,209809000000
1993-8,50451675000,611839976000,209603000000
1993-9,41677832000,501353952000,193737000000
1993-10,43264475000,507702230000,197764000000
1993-11,38868799000,489299178000,182296000000
1993-12,40610043000,503041903000,186802000000
1994-1,38863562000,472917856000,169314000000
1994-2,36068535000,463567851000,166445000000
1994-3,45433842000,572167273000,196189000000
1994-4,42418163000,546898075000,195408000000
1994-5,44297210000,524008197000,206595000000
1994-6,48169096000,531971149000,207281000000
1994-7,52410979000,578257564000,214777000000
1994-8,53235052000,587229076000,215046000000
1994-9,44677623000,490032783000,200511000000
1994-10,45845403000,493619903000,202864000000
1994-11,42230318000,477594716000,190073000000
1994-12,43868116000,490779357000,193086000000
1995-1,42050940000,425207429000,183617000000
1995-2,38580784000,393268412000,172522000000
1995-3,47390145000,489360683000,202408000000
1995-4,45427499000,490903635000,199527000000
1995-5,45915722000,511120586000,213564000000
1995-6,49992583000,542693418000,212282000000
1995-7,53345749000,571259638000,217719000000
1995-8,54776466000,580982161000,219873000000
1995-9,45589237000,451385426000,204323000000
1995-10,46993036000,441202778000,206990000000
1995-11,43703386000,435470011000,195409000000
1995-12,45015358000,444598571000,194585000000
1996-1,42734234000,362022328000,183737000000
1996-2,43056589000,343413949000,176819000000
1996-3,51646570000,416042895000,204469000000
1996-4,48063492000,425092726000,205557000000
1996-5,49808809000,467573082000,218999000000
1996-6,53774378000,476554648000,215871000000
1996-7,56576582000,525954361000,225440000000
1996-8,58714135000,551695523000,229385000000
1996-9,47857913000,412344840000,207908000000
1996-10,49873317000,425991795000,215972000000
1996-11,44696485000,389249720000,199937000000
1996-12,49361193000,437256586000,201754000000
1997-1,46692784000,337798678000,190126000000
1997-2,43761932000,337893100000,183951000000
1997-3,54755166000,416925515000,211952000000
1997-4,50182894000,408488665000,211290000000
1997-5,51979543000,444032624000,226082000000
1997-6,55462027000,481053743000,222254000000
1997-7,58771317000,540293509000,236713000000
1997-8,60496856000,552486079000,233497000000
1997-9,50076953000,425814893000,213548000000
1997-10,51846329000,445858326000,221219000000
1997-11,47743798000,441249575000,202422000000
1997-12,50414361000,454400575000,207322000000
1998-1,47290992000,371355589000,196871000000
1998-2,44641209000,326874247000,187167000000
1998-3,54453961000,426172239000,214222000000
1998-4,53044174000,447877815000,217921000000
1998-5,54302581000,462341914000,227901000000
1998-6,57335447000,482325897000,228732000000
1998-7,59441840000,537481124000,239944000000
1998-8,60813085000,526444502000,237143000000
1998-9,49560508000,430364874000,219461000000
1998-10,53463147000,444719403000,228523000000
1998-11,49561082000,427669956000,211178000000
1998-12,51024977000,459051399000,216304000000
1999-1,48861094000,384824724000,194436000000
1999-2,46158194000,350270063000,192333000000
1999-3,57761057000,436837107000,221739000000
1999-4,54968382000,435360347000,221979000000
1999-5,55469960000,450054655000,231814000000
1999-6,59918608000,496553598000,237016000000
1999-7,64397523000,543923323000,244198000000
1999-8,63752132000,528001216000,242568000000
1999-9,53733696000,393137094000,225303000000
1999-10,57407208000,425897553000,234661000000
1999-11,53866781000,421595015000,222831000000
1999-12,52331272000,442742459000,222458000000
2000-1,49745428000,366607410000,203582000000
2000-2,49876910000,366139276000,199638000000
2000-3,61378569000,453096388000,232627000000
2000-4,58981617000,473751011000,227808000000
2000-5,61165486000,481725263000,242108000000
2000-6,65524091000,517102460000,243012000000
2000-7,67883256000,564747276000,245083000000
2000-8,66924512000,558060051000,247770000000
2000-9,56441629000,446489429000,227328000000
2000-10,58834210000,462329685000,236554000000
2000-11,56283261000,442268378000,222799000000
2000-12,55380280000,461651082000,218436000000
2016-1,53129922000,379458113000,209259000000
2016-2,49992995000,366288212000,199909000000
2016-3,62323049000,448912584000,231489000000
2016-4,59801562000,455496342000,231365000000
2016-5,60246477000,462376555000,244252000000
2016-6,64987625000,528690495000,242579000000
2016-7,68573410000,564037290000,248785000000
2016-8,69003617000,562266005000,251688000000
2016-9,39106905000,446266947000,224571000000
2016-10,44271037000,452095235000,240000000000
2016-11,45245063000,446094295000,229479000000
2016-12,48167518000,479188434000,228087000000
2016-1,46587818000,398440459000,213808000000
2016-2,45157533000,397948828000,206462000000
2016-3,57423155000,461087451000,234005000000
2016-4,53013066000,453147413000,234809000000
2016-5,55663570000,461648459000,249886000000
2016-6,60224150000,499751748000,246389000000
2016-7,62570110000,564046073000,254194000000
2016-8,62881793000,516103068000,256244000000
2016-9,48925997000,385097846000,230597000000
2016-10,52779975000,399248774000,243289000000
2016-11,48902677000,375996408000,228389000000
2016-12,55355434000,448246102000,231262000000
2016-1,50602700000,393287373000,216600000000
2016-2,46455943000,390041481000,201900000000
2016-3,56033121000,472573962000,236700000000
2016-4,51146721000,483653074000,238100000000
2016-5,53591384000,489484678000,253200000000
2016-6,59426357000,531138943000,252000000000
2016-7,65041408000,578767927000,261300000000
2016-8,64095456000,557897322000,259600000000
2016-9,51347366000,427807444000,236000000000
2016-10,55810667000,463025617000,253400000000
2016-11,53249129000,448181812000,233300000000
2016-12,57795908000,489403554000,237600000000
2016-1,53447972000,410338691000,217300000000
2016-2,52608801000,389778365000,210400000000
2016-3,63600019000,453014590000,247500000000
2016-4,61887720000,471116666000,245400000000